#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
276794:5093,07/13/16 19:05:19,885,885,0.090241067,0.087941957
276807:5095,07/14/16 05:24:10,162,160,0.034115160,0.030768741
276808:5095,07/14/16 06:28:59,883,877,0.167212332,0.159470572
276810:5095,07/14/16 12:15:44,291,288,0.047789946,0.045167887
276811:5095,07/14/16 14:15:34,2563,2563,0.314203317,0.304356839
276831:5096,07/15/16 09:47:46,2648,2644,0.422163996,0.404186095
276832:5096,07/16/16 03:12:13,73,67,0.008462707,0.007538155
276834:5096,07/16/16 03:42:10,729,724,0.077121641,0.073217236
276836:5096,07/16/16 08:31:13,21,15,0.002082271,0.000000503
276837:5096,07/16/16 08:40:07,40,40,0.003941438,0.000001360
276870:5097,07/16/16 13:02:01,3407,3407,0.552492040,0.532262550
276935:5101,07/18/16 01:39:55,828,828,0.182259351,0.172654821
276940:5102,07/18/16 10:13:36,145,144,0.034563730,0.029025451
276941:5102,07/18/16 11:12:22,21,18,0.005054578,0.000541124
276942:5102,07/18/16 11:22:39,15,14,0.003586283,0.000522352
276944:5102,07/18/16 11:40:26,21,15,0.004934480,0.000638163
276945:5102,07/18/16 11:49:15,8,6,0.001864317,0.000187861
276946:5102,07/18/16 11:56:36,34,27,0.007836890,0.004299742
276947:5102,07/18/16 12:11:19,150,141,0.033502408,0.024873114
276948:5102,07/18/16 13:09:47,481,475,0.097896925,0.086854899
276950:5102,07/18/16 16:16:45,2353,2353,0.340675434,0.326195781
277069:5105,07/19/16 19:52:15,314,311,0.081222675,0.076408143
277070:5105,07/19/16 21:54:11,1063,1060,0.220774318,0.208687486
277071:5105,07/20/16 04:48:37,178,178,0.030782089,0.027789488
277072:5105,07/20/16 06:01:41,484,475,0.075353299,0.070132686
277073:5105,07/20/16 09:09:53,98,91,0.014438663,0.012867861
277075:5105,07/20/16 09:49:09,9,9,0.001297355,0.000001506
277076:5105,07/20/16 09:55:58,1037,1037,0.132706716,0.127332788
277087:5105,07/20/16 19:46:15,996,996,0.090947919,0.087693735
277093:5106,07/21/16 06:01:03,3,3,0.000808307,0
277094:5106,07/21/16 06:03:56,598,590,0.141639104,0.133062583
277096:5106,07/21/16 09:56:14,2093,2086,0.337670266,0.323779500
277112:5106,07/21/16 23:29:34,155,155,0.018210637,0.017565889
277126:5107,07/22/16 03:36:48,19,18,0.004631794,0.001989961
277127:5107,07/22/16 03:46:10,902,902,0.193692899,0.186194941
277148:5108,07/22/16 12:31:04,633,628,0.138872723,0.129584055
277166:5109,07/22/16 20:10:23,357,355,0.075812407,0.071423448
277168:5109,07/22/16 22:34:53,2223,2223,0.334324712,0.322020906
277180:5110,07/23/16 15:37:57,141,141,0.034065290,0.031605772
277194:5111,07/23/16 20:25:08,1954,1954,0.393460580,0.371051725
277202:5111,07/24/16 09:54:10,522,522,0.071459587,0.066772604
277217:5112,07/24/16 16:03:20,16,1,0.002922425,0.000024780
277218:5112,07/24/16 16:16:32,134,131,0.035813073,0.031495250
277219:5112,07/24/16 17:08:26,10,10,0.002573853,0.001364587
277220:5112,07/24/16 17:15:00,210,210,0.051572665,0.048113015
277305:5116,07/25/16 03:23:14,683,683,0.164878863,0.156008009
277420:5117,07/25/16 21:44:15,263,263,0.065979839,0.061594068
277932:5149,08/01/16 04:59:59,18,13,0.000003876,0.000000297
277934:5149,08/01/16 05:26:03,8,5,0.000001653,0.000000861
277935:5149,08/01/16 05:29:09,128,128,0.000021531,0.000021071
277981:5151,08/01/16 13:52:59,82,77,0.005296038,0.004547745
277982:5151,08/01/16 14:25:11,150,146,0.004798370,0.004294524
277983:5151,08/01/16 15:23:55,21,12,0.001276458,0.000154950
277984:5151,08/01/16 15:32:00,29,25,0.001758552,0.000869314
277985:5151,08/01/16 15:49:51,8,7,0.000481995,0.000077108
277990:5151,08/01/16 16:13:05,201,196,0.011864014,0.009854121
277991:5151,08/01/16 17:43:56,98,90,0.005639201,0.004650077
277992:5151,08/01/16 18:22:25,312,312,0.017487745,0.016618838
278017:5154,08/02/16 01:26:43,524,520,0.136776761,0.127003362
278018:5154,08/02/16 04:52:01,1181,1181,0.231761555,0.220374645
278167:5161,08/03/16 20:39:02,2174,2172,0.332271164,0.317656008
278175:5161,08/04/16 10:44:58,88,88,0.009356528,0.009121977
278193:5162,08/04/16 14:31:44,155,155,0.036753241,0.034971066
278239:5163,08/05/16 01:23:01,679,676,0.146337729,0.134595555
278240:5163,08/05/16 05:46:54,1309,1309,0.208531488,0.199813919
278273:5169,08/05/16 19:37:20,40,40,0.008171111,0.005915095
278274:5169,08/05/16 19:55:42,85,85,0.019782256,0.018218056
278288:5170,08/05/16 23:11:12,18,15,0.004236722,0.002906664
278289:5170,08/05/16 23:18:02,60,55,0.013505977,0.009766308
278290:5170,08/05/16 23:42:34,11,11,0.002643740,0.002448792
278308:5173,08/06/16 15:00:39,1799,1795,0.341610956,0.323203564
278309:5173,08/07/16 02:39:30,21,14,0.002991127,0.001342440
278310:5173,08/07/16 02:47:36,709,709,0.092298489,0.089216197
278315:5179,08/07/16 12:56:52,695,695,0.151688994,0.139344230
278345:5181,08/08/16 02:13:39,750,750,0.165945436,0.152163934
278346:5181,08/08/16 07:08:15,150,141,0.028572227,0.022486479
278349:5181,08/08/16 08:27:06,639,635,0.103891617,0.098082774
278366:5181,08/08/16 12:36:47,453,453,0.062155739,0.059965424
278406:5183,08/08/16 19:15:50,1598,1598,0.316402920,0.300244236
278509:5187,08/09/16 20:29:15,1467,1467,0.297804396,0.276277382
278761:5194,08/13/16 00:39:37,10,10,0.000002164,0.000001862
278769:5197,08/13/16 08:38:56,37,31,0.009725139,0.007290296
278770:5197,08/13/16 08:54:00,767,767,0.172788929,0.165550062
278801:5198,08/13/16 16:43:37,45,42,0.012090862,0.007893317
278802:5198,08/13/16 17:01:05,21,17,0.004822326,0.001725289
278803:5198,08/13/16 17:10:53,330,323,0.081012943,0.072484096
278804:5198,08/13/16 19:20:06,8,5,0.001837694,0.000755143
278805:5198,08/13/16 19:23:10,291,288,0.063380915,0.057104764
278806:5198,08/13/16 21:16:49,6,2,0.001248145,0.000000270
278807:5198,08/13/16 21:19:09,8,7,0.001643719,0.000005551
278808:5198,08/13/16 21:25:19,1793,1793,0.283077268,0.272532778
278820:5199,08/14/16 13:00:51,1524,1524,0.302396577,0.289436862
278821:5199,08/14/16 23:34:57,46,38,0.006874352,0.004667482
278822:5199,08/14/16 23:52:47,1627,1627,0.199018810,0.192814295
278873:5205,08/16/16 01:25:45,67,60,0.012467992,0.002032904
278874:5205,08/16/16 01:51:53,484,484,0.089088337,0.082659432
278875:5205,08/16/16 05:01:20,834,834,0.121563483,0.116011101
278923:5206,08/16/16 14:16:32,413,413,0.104061633,0.099646041
278957:5209,08/16/16 23:31:36,149,149,0.038154004,0.036574296
278962:5210,08/17/16 03:08:31,351,348,0.084959954,0.076813045
278963:5210,08/17/16 05:24:57,175,175,0.039176890,0.037662842
278969:5211,08/17/16 09:16:52,1396,1396,0.300308543,0.286280700
278975:5211,08/17/16 18:23:16,857,854,0.128052675,0.121101529
278976:5211,08/17/16 23:58:16,20,20,0.002678462,0.002577860
278986:5213,08/18/16 06:02:59,129,129,0.034035976,0.031910669
279024:5219,08/19/16 00:31:53,301,301,0.052734374,0.050088376
279029:5219,08/19/16 04:19:40,260,260,0.040451141,0.038452135
279071:5222,08/19/16 17:40:07,174,174,0.023702023,0.022788491
279080:5223,08/20/16 00:42:50,157,157,0.013339325,0.012876333
279115:5229,08/21/16 00:08:09,407,407,0.088522114,0.085189739
279116:5229,08/21/16 03:36:03,448,448,0.095442823,0.091582776
279473:5246,08/25/16 02:12:21,237,237,0.000027954,0.000000010
279479:5247,08/25/16 06:33:24,105,105,0.006335007,0.005993889
279480:5247,08/25/16 07:16:39,9,9,0.000016369,0.000000529
279488:5247,08/25/16 08:36:50,34,34,0.000037926,0.000029826
279489:5247,08/25/16 08:52:11,118,118,0.000140317,0.000129340
279588:5251,08/25/16 23:08:11,1160,1160,0.239315562,0.230879394
279653:5253,08/26/16 16:05:05,194,194,0.048921264,0.045182947
279654:5253,08/26/16 17:21:58,1254,1246,0.252470955,0.243089495
279656:5253,08/27/16 01:49:40,49,49,0.007732698,0.005736806
279658:5253,08/27/16 03:35:19,713,713,0.097035849,0.094227310
